# 홍진근 2011, <표 3> 시간별 온도변화 — 그래프에서 눈금 판독한 값
# 출처 이미지: References/홍진근2011_표3_시간별온도변화.jpeg
# 주의: 저해상도 그래프 판독값이다. 오차 대략 +-30 degC, 시간축 +-1 h.
#       인용 시 반드시 "그래프 판독값"임을 명시할 것. 원표 수치가 아니다.
t_h,T_degC
1,45
3,70
5,55
7,72
9,58
11,80
13,65
15,55
17,55
19,62
21,72
23,88
25,78
27,80
29,76
31,82
33,85
35,90
37,80
39,95
41,100
42,110
43,108
44,120
45,135
46,150
47,165
48,175
49,195
50,210
51,230
52,235
53,300
54,360
55,470
56,560
57,640
58,730
59,800
60,860
61,740
62,865
63,985
64,900
65,890
66,1000
67,1125
68,1090
69,1145
70,965
71,1090
72,1160
73,1205
74,1195
75,1035
76,1050
77,1150
78,1140
